nome;codigo;categoria;unidade;quantidade;minimo;custo;preco
Anel 8126 STD;8126 STD;Anéis;un;291;0;0;0
Anel SDA 6631 0,50;6631 0,50;Anéis;un;99;0;0;0
Anel SDA 7092;7092;Anéis;un;23;0;0;0
Anéis 8126 0,50;8126 0,50;Anéis;un;0;0;0;0
Anéis 9200 STD;9200 STD;Anéis;un;9;0;0;0
Anéis 9403 STD;9403 STD;Anéis;un;20;0;0;0
Bronzina de Biela SBB 1035-J 0,25;1035-J;Bronzina;un;23;0;0;0
Jogo de Anel 7224 0,50;7224 0,50;Jogo de Anel;un;53;0;0;0
Jogo de Anel 7224 STD;7224 STD;Jogo de Anel;un;35;0;0;0
Retentor 1135;1135;Retentor;un;117;0;0;0
Retentor 1942;1942;Retentor;un;596;0;0;0
Retentor 2075;2075;Retentor;un;124;0;0;0
Retentor 2178;2178;Retentor;un;322;0;0;0
Retentor 2283;2283;Retentor;un;270;0;0;0
Retentor 2317;2317;Retentor;un;72;0;0;0
Retentor 2370;2370;Retentor;un;435;0;0;0
Retentor 2371 (Shopee);2371;Retentor;un;359;0;0;0
Retentor 2373;2373;Retentor;un;97;0;0;0
Retentor 2374;2374;Retentor;un;297;0;0;0
Retentor 2400;2400;Retentor;un;101;0;0;0
Retentor 2525;2525;Retentor;un;599;0;0;0
Retentor 2539;2539;Retentor;un;35;0;0;0
Retentor 2544;2544;Retentor;un;214;0;0;0
Retentor 3044;3044;Retentor;un;483;0;0;0
Retentor 5159;5159;Retentor;un;896;0;0;0
Retentor 5245;5245;Retentor;un;50;0;0;0
Retentor 5266;5266;Retentor;un;16;0;0;0
Retentor 5338;5338;Retentor;un;136;0;0;0
Retentor 5502;5502;Retentor;un;44;0;0;0
Retentor 5601;5601;Retentor;un;150;0;0;0
Retentor 5699;5699;Retentor;un;27;0;0;0
Retentor 5702;5702;Retentor;un;0;0;0;0
Retentor 5772;5772;Retentor;un;152;0;0;0
Retentor 5801;5801;Retentor;un;29;0;0;0
Vedadores 9203;9203;Vedador;un;343;0;0;0
2900;2900;;un;50;0;0;0
8566 STD;8566 STD;;un;20;0;0;0
